sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;altitude;heading;
1584543169;967415;885;460145;1584543169;967415;0;0;0;1.333788;
1584543170;57238;885;550748;1584543170;57238;0;0;0;1.3359;
1584543170;141631;885;634585;1584543170;141631;0;0;0;1.339846;
1584543170;171541;885;665298;1584543170;171541;0;0;0;1.345376;
1584543170;258803;885;752475;1584543170;258803;0;0;0;1.350404;
1584543170;340935;885;834166;1584543170;340935;0;0;0;1.354736;
1584543170;372741;885;866029;1584543170;372741;0;0;0;1.361438;
1584543170;450996;885;950718;1584543170;450996;0;0;0;1.366325;
1584543170;478561;885;970769;1584543170;478561;0;0;0;1.37292;
1584543170;500417;885;993712;1584543170;500417;0;0;0;1.378978;
1584543170;551817;886;49962;1584543170;551817;0;0;0;1.384886;
1584543170;652101;886;144481;1584543170;652101;0;0;0;1.367064;
1584543170;751705;886;244942;1584543170;751705;0;0;0;1.360712;
1584543170;848802;886;342220;1584543170;848802;0;0;0;1.362002;
1584543170;934318;886;427743;1584543170;934318;0;0;0;1.366607;
1584543170;963968;886;462309;1584543170;963968;0;0;0;1.372085;
1584543171;53486;886;546715;1584543171;53486;0;0;0;1.375524;
1584543171;91612;886;583373;1584543171;91612;0;0;0;1.381851;
1584543171;175192;886;667555;1584543171;175192;0;0;0;1.385349;
1584543171;203351;886;696531;1584543171;203351;0;0;0;1.391995;
1584543171;294732;886;787850;1584543171;294732;0;0;0;1.392339;
1584543171;375191;886;868931;1584543171;375191;0;0;0;1.395657;
1584543171;406989;886;900175;1584543171;406989;0;0;0;1.401541;
1584543171;502549;886;995786;1584543171;502549;0;0;0;1.403696;
1584543171;525266;887;18341;1584543171;525266;0;0;0;1.409609;
1584543171;612006;887;105185;1584543171;612006;0;0;0;1.412793;
1584543171;639144;887;131731;1584543171;639144;0;0;0;1.419628;
1584543171;717160;887;209995;1584543171;717160;0;0;0;1.425264;
1584543171;746246;887;239251;1584543171;746246;0;0;0;1.431489;
1584543171;823133;887;315326;1584543171;823133;0;0;0;1.437298;
1584543171;849919;887;342900;1584543171;849919;0;0;0;1.444621;
1584543171;921907;887;416407;1584543171;921907;0;0;0;1.451689;
1584543171;952686;887;445897;1584543171;952686;0;0;0;1.458334;
1584543171;993146;887;486373;1584543171;993146;0;0;0;1.464411;
1584543172;90755;887;583775;1584543172;90755;0;0;0;1.468775;
1584543172;174633;887;677276;1584543172;174633;0;0;0;1.474827;
1584543172;264001;887;757111;1584543172;264001;0;0;0;1.479231;
1584543172;303305;887;796872;1584543172;303305;0;0;0;1.485482;
1584543172;396852;887;890097;1584543172;396852;0;0;0;1.489541;
1584543172;503893;887;996747;1584543172;503893;0;0;0;1.494896;
1584543172;596202;888;89644;1584543172;596202;0;0;0;1.49804;
1584543172;677249;888;184536;1584543172;677249;0;0;0;1.502111;
1584543172;770282;888;265294;1584543172;770282;0;0;0;1.506377;
1584543172;807409;888;299729;1584543172;807409;0;0;0;1.511983;
1584543172;900969;888;394837;1584543172;900969;0;0;0;1.515355;
1584543172;990391;888;488654;1584543172;990391;0;0;0;1.518778;
1584543173;71489;888;567157;1584543173;71489;0;0;0;1.521824;
1584543173;168253;888;661235;1584543173;168253;0;0;0;1.529425;
1584543173;209618;888;702936;1584543173;209618;0;0;0;1.542736;
1584543173;303610;888;796432;1584543173;303610;0;0;0;1.593328;
1584543173;409247;888;901917;1584543173;409247;0;0;0;1.636714;
1584543173;487026;888;981148;1584543173;487026;0;0;0;1.651323;
1584543173;517089;889;10579;1584543173;517089;0;0;0;1.657261;
1584543173;594718;889;95017;1584543173;594718;0;0;0;1.666652;
1584543173;631120;889;123818;1584543173;631120;0;0;0;1.672903;
1584543173;716317;889;209300;1584543173;716317;0;0;0;1.679718;
1584543173;738808;889;232022;1584543173;738808;0;0;0;1.687073;
1584543173;768412;889;262012;1584543173;768412;0;0;0;1.693714;
1584543173;844751;889;337523;1584543173;844751;0;0;0;1.70167;
1584543173;873299;889;366636;1584543173;873299;0;0;0;1.705121;
1584543173;911021;889;403168;1584543173;911021;0;0;0;1.704649;
1584543173;988505;889;497401;1584543173;988505;0;0;0;1.684865;
1584543174;96388;889;597976;1584543174;96388;0;0;0;1.685194;
1584543174;195399;889;687790;1584543174;195399;0;0;0;1.684937;
1584543174;277155;889;770667;1584543174;277155;0;0;0;1.67097;
1584543174;376217;889;869423;1584543174;376217;0;0;0;1.655898;
1584543174;458922;889;951710;1584543174;458922;0;0;0;1.642687;
1584543174;497117;889;991162;1584543174;497117;0;0;0;1.641291;
1584543174;579694;890;73109;1584543174;579694;0;0;0;1.620658;
1584543174;621248;890;113687;1584543174;621248;0;0;0;1.620765;
1584543174;722248;890;215212;1584543174;722248;0;0;0;1.599312;
1584543174;821468;890;315608;1584543174;821468;0;0;0;1.582206;
1584543174;923264;890;415708;1584543174;923264;0;0;0;1.560312;
1584543175;20591;890;513165;1584543175;20591;0;0;0;1.545704;
1584543175;117113;890;611165;1584543175;117113;0;0;0;1.528005;
1584543175;199134;890;691378;1584543175;199134;0;0;0;1.51461;
1584543175;234939;890;727555;1584543175;234939;0;0;0;1.518483;
1584543175;328377;890;821755;1584543175;328377;0;0;0;1.518026;
1584543175;351577;890;844697;1584543175;351577;0;0;0;1.524075;
1584543175;402127;890;894295;1584543175;402127;0;0;0;1.52901;
1584543175;485372;890;977316;1584543175;485372;0;0;0;1.53066;
1584543175;526280;891;18950;1584543175;526280;0;0;0;1.536979;
1584543175;606874;891;100697;1584543175;606874;0;0;0;1.540145;
1584543175;643041;891;136845;1584543175;643041;0;0;0;1.539313;
1584543175;728812;891;221996;1584543175;728812;0;0;0;1.517562;
1584543175;750688;891;242964;1584543175;750688;0;0;0;1.516675;
1584543175;774309;891;266487;1584543175;774309;0;0;0;1.51271;
1584543175;807830;891;300266;1584543175;807830;0;0;0;1.513498;
1584543175;898334;891;399094;1584543175;898334;0;0;0;1.513344;
1584543175;987847;891;482869;1584543175;987847;0;0;0;1.514977;
1584543176;26723;891;519923;1584543176;26723;0;0;0;1.519614;
1584543176;132071;891;624967;1584543176;132071;0;0;0;1.520939;
1584543176;209242;891;702013;1584543176;209242;0;0;0;1.522364;
1584543176;237363;891;731212;1584543176;237363;0;0;0;1.527373;
1584543176;320986;891;822376;1584543176;320986;0;0;0;1.527512;
1584543176;410617;891;903185;1584543176;410617;0;0;0;1.509336;
1584543176;439781;891;932202;1584543176;439781;0;0;0;1.506716;
1584543176;523775;892;25043;1584543176;523775;0;0;0;1.489389;
1584543176;608112;892;105957;1584543176;608112;0;0;0;1.480845;
1584543176;652685;892;145578;1584543176;652685;0;0;0;1.48098;
1584543176;748203;892;241345;1584543176;748203;0;0;0;1.456655;
1584543176;837565;892;334500;1584543176;837565;0;0;0;1.423036;
1584543176;863325;892;356546;1584543176;863325;0;0;0;1.417957;
1584543176;887697;892;380944;1584543176;887697;0;0;0;1.403112;
1584543176;926304;892;418545;1584543176;926304;0;0;0;1.389335;
1584543177;24475;892;517756;1584543177;24475;0;0;0;1.339632;
1584543177;111617;892;610842;1584543177;111617;0;0;0;1.310526;
1584543177;199171;892;691963;1584543177;199171;0;0;0;1.282251;
1584543177;227657;892;720723;1584543177;227657;0;0;0;1.276086;
1584543177;323747;892;816990;1584543177;323747;0;0;0;1.237429;
1584543177;401312;892;894115;1584543177;401312;0;0;0;1.232981;
1584543177;431284;892;927279;1584543177;431284;0;0;0;1.23869;
1584543177;507026;893;563;1584543177;507026;0;0;0;1.241164;
1584543177;551278;893;44467;1584543177;551278;0;0;0;1.240472;
1584543177;633304;893;129464;1584543177;633304;0;0;0;1.209594;
1584543177;662441;893;155643;1584543177;662441;0;0;0;1.208862;
1584543177;685292;893;178651;1584543177;685292;0;0;0;1.202756;
1584543177;766163;893;259327;1584543177;766163;0;0;0;1.193705;
1584543177;792806;893;295065;1584543177;792806;0;0;0;1.197894;
1584543177;894231;893;385994;1584543177;894231;0;0;0;1.196575;
1584543177;972375;893;469633;1584543177;972375;0;0;0;1.190127;
1584543178;5520;893;498767;1584543178;5520;0;0;0;1.187416;
1584543178;85140;893;578461;1584543178;85140;0;0;0;1.167578;
1584543178;119439;893;619116;1584543178;119439;0;0;0;1.168085;
1584543178;201454;893;694615;1584543178;201454;0;0;0;1.166766;
1584543178;240827;893;738828;1584543178;240827;0;0;0;1.172187;
1584543178;335820;893;828665;1584543178;335820;0;0;0;1.170424;
1584543178;412158;893;905245;1584543178;412158;0;0;0;1.151843;
1584543178;438837;893;931072;1584543178;438837;0;0;0;1.147311;
1584543178;467126;893;960872;1584543178;467126;0;0;0;1.142958;
1584543178;558900;894;52291;1584543178;558900;0;0;0;1.117521;
1584543178;643134;894;140863;1584543178;643134;0;0;0;1.119825;
1584543178;671713;894;165709;1584543178;671713;0;0;0;1.126198;
1584543178;706357;894;199270;1584543178;706357;0;0;0;1.132281;
1584543178;793021;894;286139;1584543178;793021;0;0;0;1.138676;
1584543178;815147;894;307884;1584543178;815147;0;0;0;1.146101;
1584543178;842365;894;339802;1584543178;842365;0;0;0;1.151288;
1584543178;922119;894;415256;1584543178;922119;0;0;0;1.156952;
1584543178;952475;894;449754;1584543178;952475;0;0;0;1.163898;
1584543179;40302;894;533271;1584543179;40302;0;0;0;1.169434;
1584543179;73133;894;566503;1584543179;73133;0;0;0;1.175696;
1584543179;155626;894;654234;1584543179;155626;0;0;0;1.180373;
1584543179;194060;894;687154;1584543179;194060;0;0;0;1.185613;
1584543179;271402;894;764036;1584543179;271402;0;0;0;1.18815;
1584543179;300945;894;794262;1584543179;300945;0;0;0;1.19534;
1584543179;400133;894;893534;1584543179;400133;0;0;0;1.200132;
1584543179;421608;894;915010;1584543179;421608;0;0;0;1.206831;
1584543179;442810;894;937102;1584543179;442810;0;0;0;1.211069;
1584543179;534133;895;27151;1584543179;534133;0;0;0;1.216011;
1584543179;578439;895;71847;1584543179;578439;0;0;0;1.222629;
1584543179;668744;895;168361;1584543179;668744;0;0;0;1.227637;
1584543179;747212;895;250369;1584543179;747212;0;0;0;1.231873;
1584543179;782313;895;275350;1584543179;782313;0;0;0;1.237996;
1584543179;886364;895;382475;1584543179;886364;0;0;0;1.240627;
1584543179;912530;895;406291;1584543179;912530;0;0;0;1.244476;
1584543179;940434;895;434106;1584543179;940434;0;0;0;1.248079;
1584543180;18780;895;512137;1584543180;18780;0;0;0;1.250341;
1584543180;41274;895;534490;1584543180;41274;0;0;0;1.256293;
1584543180;75888;895;569000;1584543180;75888;0;0;0;1.261614;
