sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543415;492499;1130;984526;1584543415;492458;0.01318681;
1584543415;593519;1131;85182;1584543415;593478;0.01318681;
1584543415;694316;1131;186123;1584543415;694274;0.01274725;
1584543415;794937;1131;286772;1584543415;794895;0.01318681;
1584543415;897603;1131;390848;1584543415;897556;0.02417582;
1584543415;998677;1131;489232;1584543415;998633;0.01274725;
1584543416;98984;1131;590813;1584543416;98942;0.01274725;
1584543416;199943;1131;691785;1584543416;199894;0.01230769;
1584543416;300705;1131;792562;1584543416;300658;0.01230769;
1584543416;402180;1131;893826;1584543416;402129;0.01186813;
1584543416;502985;1131;995490;1584543416;502935;0.0210989;
1584543416;604359;1132;96307;1584543416;604300;0.01274725;
1584543416;704501;1132;196973;1584543416;704454;0.01274725;
1584543416;805034;1132;297026;1584543416;804993;0.01450549;
1584543416;906178;1132;397989;1584543416;906135;0.01274725;
1584543417;8577;1132;499619;1584543417;8519;0.01186813;
1584543417;107866;1132;599680;1584543417;107818;0.01186813;
1584543417;208971;1132;701025;1584543417;208929;0.0167033;
1584543417;311210;1132;801673;1584543417;311163;0.01494505;
1584543417;411677;1132;903509;1584543417;411635;0.01186813;
1584543417;512541;1133;4580;1584543417;512499;0.01186813;
1584543417;613584;1133;105562;1584543417;613542;0.01186813;
1584543417;716831;1133;207264;1584543417;716769;0.01318681;
1584543417;816463;1133;306850;1584543417;816416;0.01230769;
1584543417;916703;1133;407114;1584543417;916654;0.01318681;
1584543418;31540;1133;524190;1584543418;31463;0.01318681;
1584543418;119353;1133;609684;1584543418;119306;0.01230769;
1584543418;219716;1133;711610;1584543418;219674;0.02153846;
1584543418;322392;1133;812831;1584543418;322332;0.01142857;
1584543418;422359;1133;914962;1584543418;422300;0.01142857;
1584543418;523008;1134;13563;1584543418;522967;0.01362637;
1584543418;626235;1134;116667;1584543418;626181;0.01186813;
1584543418;725641;1134;217580;1584543418;725592;0.02373626;
1584543418;826993;1134;318645;1584543418;826946;0.01274725;
1584543418;930697;1134;421126;1584543418;930633;0.01186813;
1584543419;29360;1134;521515;1584543419;29139;0.01758242;
1584543419;130443;1134;626239;1584543419;130399;0.01230769;
1584543419;237920;1134;730227;1584543419;237655;0.01274725;
1584543419;337321;1134;827764;1584543419;337276;0.01230769;
1584543419;446341;1134;938034;1584543419;446288;0.005274725;
1584543419;540501;1135;34510;1584543419;540455;0.01318681;
1584543419;643356;1135;133758;1584543419;643307;0.01230769;
1584543419;751295;1135;247550;1584543419;751228;0.01186813;
1584543419;849551;1135;341991;1584543419;849506;0.01406593;
1584543419;951587;1135;444201;1584543419;951541;0.01230769;
1584543420;52068;1135;543505;1584543420;52020;0.01230769;
1584543420;152419;1135;644418;1584543420;152376;0.01186813;
1584543420;254208;1135;745967;1584543420;254161;0.01230769;
1584543420;355031;1135;846629;1584543420;354990;0.01186813;
1584543420;456318;1135;948032;1584543420;456271;0.01230769;
