sent.seconds,sent.microseconds,received.seconds,received.microseconds,sampleTimeStamp.seconds,sampleTimeStamp.microseconds,groundSteering5,groundSteering4,groundSteering3,groundSteering2,groundSteering1
1584543612,962934,1328,449766,1584543612,962934,0.06597735,0,0,0.09597431,0
1584543613,63593,1328,550432,1584543613,63593,0.06597735,0,0,0.1259624,0.1319547
1584543613,164299,1328,651129,1584543613,164299,0.06597735,0,-0.008992876,0.1259624,0.2519159
1584543613,264959,1328,751775,1584543613,264959,0.06597735,0,-0.03297979,0.1109684,0.290888
1584543613,365508,1328,852304,1584543613,365508,0.06597735,0,0,0.09297372,0.290888
1584543613,466046,1328,952851,1584543613,466046,0.06597735,0,0,0.09297372,0.1859386
1584543613,566557,1329,53360,1584543613,566557,0.05998505,0,0,0.0749791,0
1584543613,667128,1329,153933,1584543613,667128,0.05998505,-0.08996427,0,0.07197852,0
1584543613,767637,1329,254432,1584543613,767637,0.05998505,0,0,0.0749791,0
1584543613,868228,1329,355041,1584543613,868228,0.05998505,0,0,0.0749791,0
1584543613,968803,1329,455620,1584543613,968803,0.06298564,0,0,0.0749791,0
1584543614,69371,1329,556179,1584543614,69371,0.09297372,-0.07196964,0,0.0749791,0
1584543614,169913,1329,656715,1584543614,169913,0.09297372,-0.152941,0,0.0749791,0.290888
1584543614,270522,1329,757353,1584543614,270522,0.08397198,-0.2069249,0,0.0749791,0.290888
1584543614,371213,1329,858027,1584543614,371213,0.07197852,-0.2039243,0,0.0749791,0
1584543614,471732,1329,958530,1584543614,471732,0.06298564,-0.2039243,0,0.0749791,0
1584543614,572241,1330,59037,1584543614,572241,0.0749791,-0.2039243,0,0.0749791,-0.03598038
1584543614,672770,1330,159570,1584543614,672770,0.1229618,-0.2039243,0,0.0749791,0
1584543614,773309,1330,260108,1584543614,773309,0.1529499,-0.2009238,0,0.06897793,0
1584543614,873855,1330,360656,1584543614,873855,0.06897793,-0.2009238,0,0.06597735,0
1584543614,974382,1330,461179,1584543614,974382,0.0239958,-0.2009238,0,0.05998505,0
1584543615,74994,1330,561785,1584543615,74994,0.0239958,-0.2009238,0,0.05698447,0
1584543615,175515,1330,662301,1584543615,175515,0.0239958,-0.2009238,-0.02398692,0.0479916,0
1584543615,276088,1330,762912,1584543615,276088,0.02099521,-0.1919309,0,0,0
1584543615,376707,1330,863524,1584543615,376707,0.08097139,0,0,0.02099521,0
1584543615,477323,1330,964147,1584543615,477323,0.1079678,0,0,0.0749791,0
1584543615,577959,1331,64775,1584543615,577959,0.1349553,0,0,0.09597431,0
1584543615,679077,1331,165866,1584543615,679077,0.1649434,0,0,0.09896602,0
1584543615,781390,1331,268188,1584543615,781390,0.1709445,0,0,0.09896602,0
1584543615,881900,1331,368692,1584543615,881900,0.1709445,0,0,0.09597431,0
1584543615,982389,1331,469184,1584543615,982389,0.1709445,0,-0.002991707,0.1019666,0
1584543616,82885,1331,569687,1584543616,82885,0.1619428,0,-0.137947,0.09896602,0
1584543616,183722,1331,670619,1584543616,183722,0.02099521,0,-0.1319458,0.09297372,0.2069338
1584543616,284393,1331,771181,1584543616,284393,0,0,-0.1319458,0.08097139,0
1584543616,384917,1331,871704,1584543616,384917,0,0,-0.1319458,0.07197852,0
1584543616,485433,1331,972225,1584543616,485433,0,0.1589511,-0.1319458,0.07197852,0.2609088
1584543616,585973,1332,72766,1584543616,585973,-0.1409476,0,-0.1229529,0.06897793,-0.1049583
1584543616,686495,1332,173296,1584543616,686495,-0.290888,0,-0.1229529,0.07197852,0
1584543616,787027,1332,273830,1584543616,787027,-0.290888,0,-0.1229529,0.07197852,0
1584543616,887561,1332,374358,1584543616,887561,0,0,-0.1229529,0,0
1584543616,988038,1332,474835,1584543616,988038,0,0,-0.1229529,0,0
1584543617,88492,1332,575289,1584543617,88492,0,0,-0.1229529,0,0
1584543617,188978,1332,675787,1584543617,188978,0,0,-0.1229529,0,0.2039332
1584543617,289508,1332,776324,1584543617,289508,0,0,-0.1499404,0,0.2009326
1584543617,390036,1332,876852,1584543617,390036,0.08397198,0,-0.2009238,-0.03898096,0.1859386
1584543617,490556,1332,977374,1584543617,490556,0.1109684,0,-0.2099255,0,0.1799374
1584543617,591183,1333,77989,1584543617,591183,0,-0.1979232,-0.2009238,0,0.2219278
1584543617,692352,1333,179242,1584543617,692352,0,0,0,0,0.128963
1584543617,792067,1333,278902,1584543617,792067,0,0,0,0,0
1584543617,892659,1333,379481,1584543617,892659,0,0,0,0,0
1584543617,993179,1333,479984,1584543617,993179,-0.1859297,0,0,0,0
1584543618,93662,1333,580464,1584543618,93662,-0.1229529,0,0,0,0
1584543618,194185,1333,680998,1584543618,194185,0,0.290888,-0.1259535,0,0
1584543618,294798,1333,781630,1584543618,294798,0,0,0,0,0.2039332
1584543618,395611,1333,882528,1584543618,395611,0,0,0,0,0.09297372
1584543618,496380,1333,983214,1584543618,496380,0,0,0,0,0.08997314
1584543618,597037,1334,83875,1584543618,597037,0.1559505,0,0,0,0.06897793
1584543618,697666,1334,184498,1584543618,697666,0.281904,-0.2099255,0,0,0.0239958
1584543618,798212,1334,284996,1584543618,798212,0,0,0,0,0
1584543618,898687,1334,385472,1584543618,898687,0,0,-0.09895714,0,0
1584543618,999224,1334,486059,1584543618,999224,0,0,-0.0839631,0,0
1584543619,99870,1334,586710,1584543619,99870,0,0,0,0,0
1584543619,200760,1334,687649,1584543619,200760,-0.1979232,0,0,0,-0.04198155
1584543619,301682,1334,788513,1584543619,301682,0,-0.005992291,0,0,-0.02398692
1584543619,402337,1334,889132,1584543619,402337,0,0,0,0,0
1584543619,502915,1334,989739,1584543619,502915,0,0,0,0,0
1584543619,603536,1335,90369,1584543619,603536,0,-0.005992291,0,0,0
1584543619,704129,1335,190922,1584543619,704129,0.1319547,-0.008992876,0,0,0
1584543619,804676,1335,291478,1584543619,804676,0.143957,-0.06297676,0,0,0
1584543619,905162,1335,391956,1584543619,905162,0.06298564,-0.1289541,0,0,0
1584543620,5700,1335,492509,1584543620,5700,0,-0.1109595,0,0.04499101,0
1584543620,106215,1335,593007,1584543620,106215,0,-0.1049583,-0.008992876,0.0479916,0.1259624
1584543620,206787,1335,693585,1584543620,206787,0,-0.09296485,0,0.0479916,0
1584543620,307264,1335,794053,1584543620,307264,0,-0.08996427,0,0.0479916,0
1584543620,407725,1335,894518,1584543620,407725,0,-0.08996427,0,0.0479916,0
1584543620,508195,1335,994983,1584543620,508195,0.1469487,-0.08996427,0,0.0479916,0
1584543620,608661,1336,95448,1584543620,608661,0.1769457,-0.09296485,0,0.0479916,0
1584543620,709129,1336,195928,1584543620,709129,0.1769457,-0.07196964,0,0.0479916,0
1584543620,809657,1336,296467,1584543620,809657,0.1739451,0,0,0.0479916,0
1584543620,910203,1336,397067,1584543620,910203,0.1709445,0,0,0.0479916,-0.1859297
1584543621,10800,1336,497619,1584543621,10800,0.1469487,0,0,0.0479916,0
1584543621,111423,1336,598223,1584543621,111423,0,0,0,0.0479916,0
1584543621,212145,1336,698948,1584543621,212145,-0.1229529,-0.08696368,0,0.0479916,0
1584543621,312653,1336,799451,1584543621,312653,-0.2459059,-0.2399136,0,0.0479916,0
1584543621,413142,1336,899990,1584543621,413142,0.0239958,-0.01499404,0,0.0479916,0
1584543621,513691,1337,536,1584543621,513691,0.1379559,0,0.1619428,0.0479916,0
1584543621,614282,1337,101122,1584543621,614282,0.1619428,0,0.1889392,0.05398389,0
1584543621,714816,1337,201664,1584543621,714816,0.1349553,-0.1199524,0,0.1259624,0
1584543621,815341,1337,302191,1584543621,815341,0.1349553,-0.1169518,0,0.1649434,0.1259624
1584543621,915861,1337,402719,1584543621,915861,0.1229618,-0.1169518,0,0.1649434,0.1229618
1584543622,16616,1337,503502,1584543622,16616,0.1259624,-0.1169518,0,0.1409564,0.0749791
1584543622,118402,1337,605779,1584543622,118402,0.1259624,-0.1169518,0,0.1079678,0.03298867
1584543622,219629,1337,706488,1584543622,219629,0.1259624,-0.1169518,-0.1049583,0.1109684,0.01200234
1584543622,319474,1337,806345,1584543622,319474,0.1259624,-0.1169518,0,0.01200234,0
1584543622,420178,1337,906971,1584543622,420178,0.1259624,-0.1139512,0,0.01200234,0
1584543622,520664,1338,7517,1584543622,520664,0.1259624,-0.1109595,-0.1259535,0.0239958,0
1584543622,621361,1338,108173,1584543622,621361,0.1229618,-0.1109595,-0.1229529,0.09597431,0
1584543622,721846,1338,208631,1584543622,721846,0.1259624,-0.09296485,-0.1169518,0.1649434,0.0239958
1584543622,822272,1338,309057,1584543622,822272,0.1259624,-0.06596847,-0.09895714,0.1889392,0.0239958
1584543622,922766,1338,409549,1584543622,922766,0.1259624,0,-0.0779708,0.2219278,0.0239958
1584543623,23210,1338,509999,1584543623,23210,0.1259624,0,-0.0779708,0.1259624,0.0239958
1584543623,123680,1338,610477,1584543623,123680,0.1259624,0,-0.0779708,0.0509833,0.09297372
1584543623,224188,1338,710994,1584543623,224188,0.128963,0,-0.0779708,0.03298867,0.08997314
1584543623,324677,1338,811473,1584543623,324677,0.1259624,-0.1229529,-0.0779708,0.143957,0.06897793
1584543623,425180,1338,911993,1584543623,425180,0.128963,0,-0.0779708,0.1409564,0.09896602
1584543623,525695,1339,12497,1584543623,525695,0.1199612,0,-0.01499404,0.1379559,0.09896602
1584543623,626353,1339,113232,1584543623,626353,0,-0.005992291,0,0,0.182938
1584543623,727434,1339,214340,1584543623,727434,0,-0.2159178,0,0,0.2129261
1584543623,828141,1339,314955,1584543623,828141,0,0,0,0,0.290888
1584543623,928647,1339,415445,1584543623,928647,0,0,-0.1169518,0,0.290888
1584543624,29089,1339,515875,1584543624,29089,0,0,-0.06896906,0,0.290888
1584543624,129529,1339,616327,1584543624,129529,0,0,0,0,0.290888
1584543624,229996,1339,716784,1584543624,229996,0,0,0,-0.06297676,0.290888
1584543624,330422,1339,817209,1584543624,330422,0.05998505,0,0,0,0.2429142
1584543624,430886,1339,917737,1584543624,430886,0.1889392,0,-0.01199346,0,0
1584543624,531408,1340,18201,1584543624,531408,0,0,-0.01199346,0,0
1584543624,631872,1340,118668,1584543624,631872,0,0,-0.1229529,0,0
1584543624,732384,1340,219185,1584543624,732384,0,0,-0.1409476,0,0
1584543624,832896,1340,319698,1584543624,832896,0,0,-0.05997618,0,-0.05397501
1584543624,933413,1340,420200,1584543624,933413,0,0,-0.1169518,0,0
1584543625,33928,1340,520737,1584543625,33928,0.07197852,0,-0.2878963,0,0.1889392
